Tintas e rosé por região (milhões Kg),2015,2016,2017,2018,2019
BORBA,"22,829","20,544","17,099","18,452","14,212"
REDONDO,"10,489","7,832","8,112","8,296","8,244"
REGUENGOS,"23,352","18,989","18,702","21,029","18,756"
PORTALEGRE,"7,537","6,552","5,855","7,521","7,763"
VIDIGUEIRA,"14,090","12,442","11,435","14,290","15,047"
"ÉVORA","6,392","6,756","6,993","6,303","6,162"
GRANJA-AMARELEJA,"4,329","3,486","2,848","3,775","3,160"
MOURA,"2,831","2,413","2,258","3,684","2,377"
Soma D.O. Alentejo,"91,849","79,016","73,302","83,349","75,722"
I.G. ALENTEJANO,"26,145","25,686","24,212","25,701","27,992"
Total,"117,994","104,702","97,515","109,050","103,714"
