Total por região (milhões Kg),2015,2016,2017,2018,2019
BORBA,"29,902","28,343","23,188","26,006","19,334"
REDONDO,"13,005","10,224","10,391","10,825","10,268"
REGUENGOS,"29,242","23,863","24,153","27,102","23,022"
PORTALEGRE,"8,675","7,581","6,899","8,869","8,911"
VIDIGUEIRA,"22,015","19,805","17,529","23,384","22,671"
"ÉVORA","7,729","8,204","11,093","7,892","7,413"
GRANJA-AMARELEJA,"4,574","3,886","3,084","4,044","3,530"
MOURA,"3,237","2,860","2,680","4,471","3,027"
Soma D.O. Alentejo,"118,380","104,766","99,017","112,593","98,175"
I.G. ALENTEJANO,"31,542","31,477","29,735","32,532","34,305"
Total,"149,922","136,243","128,752","145,124","132,480"
